Departure,Return,Bike,Departure station,Return station,Membership Type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration,Number of stopovers
2/1/2019 8:00,2/1/2019 8:00,774,0092 Chilco & Barclay,0014 Canada Place,365 Corporate Plus,2875,657,3976,4180,9,11,0,0
2/1/2019 8:00,2/1/2019 8:00,1911,0231 Napier & Commercial,0098 Carrall & Hastings,365 Standard,3506,879,3745,3861,8,9,0,0
2/1/2019 8:00,2/1/2019 9:00,2032,0030 Abbott & Cordova,0001 10th & Cambie,365 Day Founding Plus,3054,940,3665,3850,8,8,0,0
2/1/2019 8:00,2/1/2019 8:00,300,0050 Bute & Comox,0190 Melville & Bute,Archived Monthly Standard,761,243,4014,4150,5,8,0,0
2/1/2019 8:00,2/1/2019 8:00,317,0143 South False Creek Seawall,0193 Science World,365 Corporate Standard,2536,554,3961,4158,9,11,0,0
2/1/2019 8:00,2/1/2019 8:00,465,0159 Vine & 4th,0140 Burrard & 7th,365 Corporate Standard,1231,316,3866,4000,9,11,0,0
2/1/2019 8:00,2/1/2019 9:00,1439,0126 Thurlow & Pendrell,0008 8th & Ash,365 Corporate Plus,3093,853,3856,4005,9,11,0,0
2/1/2019 8:00,2/1/2019 8:00,1944,0207 Alberni & Jervis,0079 Nelson & Richards,365 Standard,1615,498,3903,4018,9,10,0,0
2/1/2019 8:00,2/1/2019 9:00,496,0123 Georgia & Thurlow,0161 Alexander & Dunlevy,365 Day Pass Standard SALE,2887,1097,3850,3979,9,8,0,0
2/1/2019 8:00,2/1/2019 8:00,642,0196 Drake & Hornby,0063 Robson & Granville,Archived Monthly Standard,1021,304,4006,4116,10,11,0,0
2/1/2019 8:00,2/1/2019 9:00,67,0196 Drake & Hornby,0107 8th & Ontario,365 Day Founding Standard,3459,727,3758,3935,9,12,0,0
2/1/2019 8:00,2/1/2019 9:00,794,0136 David Lam Park - West,0027 Beatty & Nelson,365 Standard,1065,417,4006,4108,8,9,0,0
2/1/2019 8:00,2/1/2019 9:00,1787,0072 14th & Cambie,0990 Balancer Bike Check In,VIP,5219,1405,3897,4179,8,8,0,0
2/1/2019 8:00,2/1/2019 9:00,1195,0015 Granville & Georgia,0098 Carrall & Hastings,365 Standard,1376,427,4034,4155,9,10,0,0
2/1/2019 8:00,2/1/2019 8:00,2011,0265 St Catherines & 10th,0236 Keith & 6th,365 Day Founding Plus,820,134,4011,4113,8,10,0,0
2/1/2019 8:00,2/1/2019 9:00,854,0050 Bute & Comox,0073 Ontario & 5th,365 Day Pass Plus SALE,0,878,3660,3724,8,8,0,0
2/1/2019 8:00,2/1/2019 9:00,1465,0272 Pender & Victoria,0174 1st & Ontario,90 Day,4084,1040,3752,3958,9,11,0,0
2/1/2019 9:00,2/1/2019 9:00,168,0207 Alberni & Jervis,0016 Pender & Burrard,365 Plus,818,229,3939,4061,9,11,0,0
2/1/2019 9:00,2/1/2019 9:00,437,0025 Homer & Robson,0005 Dunsmuir & Beatty,365 Day Founding Standard,663,189,3948,4045,9,10,0,0
2/1/2019 9:00,2/1/2019 9:00,1520,0193 Science World,0006 Olympic Village Station,365 Day Pass Plus SALE,1602,414,3779,3929,9,11,0,0
2/1/2019 9:00,2/1/2019 9:00,560,0246 Glen & Broadway,0237 Glen & 6th,Vancity Community Pass,318,81,3848,3911,8,9,0,0
2/1/2019 9:00,2/1/2019 9:00,852,0039 Helmcken & Burrard,0201 Shaw Tower,365 Day Pass Plus SALE,1672,568,3947,4100,9,11,0,0
2/1/2019 9:00,2/1/2019 9:00,1026,0287 Carolina & Great Northern Way,0098 Carrall & Hastings,365 Standard,2660,630,3874,4080,8,10,0,0
2/1/2019 9:00,2/1/2019 9:00,1947,0005 Dunsmuir & Beatty,0150 Alexander & Main,365 Day Pass Plus SALE,1235,419,3918,4069,8,8,0,0
2/1/2019 9:00,2/1/2019 9:00,865,0060 Bidwell & Burnaby,0016 Pender & Burrard,365 Day Founding Standard,2203,616,3947,4092,10,11,0,0
2/1/2019 9:00,2/1/2019 9:00,517,0081 7th & Heather,0055 Keefer & Columbia,365 Standard,2652,588,3935,4146,9,10,0,0
2/1/2019 9:00,2/1/2019 9:00,2041,0050 Bute & Comox,0129 Richards & Robson,365 Plus,1545,545,3948,4113,9,10,0,0
2/1/2019 9:00,2/1/2019 9:00,1793,0176 10th & Ontario,0001 10th & Cambie,365 Day Founding Plus,765,132,3842,3960,8,10,0,0
2/1/2019 9:00,2/1/2019 9:00,311,0258 13th & St George,0001 10th & Cambie,Archived Monthly Basic,0,515,3568,3616,8,7,0,0
2/1/2019 9:00,2/1/2019 9:00,679,0140 Burrard & 7th,0165 Columbia & 4th,365 Day Pass Plus SALE,2987,612,4074,4119,3,11,0,0
2/1/2019 9:00,2/1/2019 9:00,1966,0036 Bute & Robson,0030 Abbott & Cordova,365 Day Founding Plus,2238,528,3940,4117,8,11,0,0
2/1/2019 9:00,2/1/2019 9:00,1021,0133 Ontario & 16th,0001 10th & Cambie,Archived Monthly Standard,1321,368,3694,3816,9,10,0,0
2/1/2019 9:00,2/1/2019 9:00,1257,0133 Ontario & 16th,0001 10th & Cambie,Archived Monthly Standard,1325,350,3835,3966,8,10,0,0
2/1/2019 9:00,2/1/2019 9:00,1275,0187 Bute & Davie,0123 Georgia & Thurlow,365 Day Founding Standard,998,328,3802,3951,8,10,0,0
2/1/2019 9:00,2/1/2019 9:00,1694,0092 Chilco & Barclay,0092 Chilco & Barclay,365 Corporate Plus,0,17,3797,3840,9,8,0,0
2/1/2019 9:00,2/1/2019 9:00,763,0001 10th & Cambie,0005 Dunsmuir & Beatty,365 Day Founding Standard,2495,644,3727,3853,8,11,0,0
2/1/2019 9:00,2/1/2019 9:00,44,0266 St Catherines & 7th,0274 Victoria & 10th,365 Day Pass Standard SALE,1807,562,3819,3980,9,10,0,0
2/1/2019 9:00,2/1/2019 9:00,263,0092 Chilco & Barclay,0001 10th & Cambie,365 Corporate Plus,4533,1137,3980,4245,8,8,0,0
2/1/2019 9:00,2/1/2019 9:00,290,0130 Heather & 16th,0001 10th & Cambie,365 Corporate Standard,1161,335,3900,4037,8,10,0,0
2/1/2019 9:00,2/1/2019 9:00,468,0037 Hornby & Nelson,0024 Hornby & Pender,365 Day Founding Plus,878,251,3613,3713,9,10,0,0
2/1/2019 9:00,2/1/2019 9:00,2006,0089 Burrard & Drake,0001 10th & Cambie,365 Standard,3169,789,4013,4204,9,12,0,0
2/1/2019 9:00,2/1/2019 9:00,1070,0036 Bute & Robson,0037 Hornby & Nelson,365 Corporate Plus Renewal,873,191,3922,4048,8,8,0,0
2/1/2019 9:00,2/1/2019 9:00,351,0053 Keefer & Abbott,0004 Yaletown-Roundhouse Station,365 Day Pass Standard SALE,1431,314,3684,3832,9,10,0,0
2/1/2019 9:00,2/1/2019 9:00,1039,0089 Burrard & Drake,0125 Hamilton & Robson,365 Corporate Plus,0,599,3839,3947,9,9,0,0
2/1/2019 9:00,2/1/2019 9:00,1515,0174 1st & Ontario,0053 Keefer & Abbott,365 Day Founding Plus,1521,402,3658,3829,8,8,0,0
2/1/2019 9:00,2/1/2019 9:00,2124,0092 Chilco & Barclay,0030 Abbott & Cordova,365 Day Pass Standard SALE,4112,1209,3985,4222,9,11,0,0
2/1/2019 9:00,2/1/2019 9:00,914,0088 Harwood & Bute,0082 Richards & Davie,365 Corporate Plus,1174,337,4009,4116,9,11,0,0
2/1/2019 9:00,2/1/2019 9:00,240,0092 Chilco & Barclay,0024 Hornby & Pender,90 Day,3336,1036,3874,4059,9,11,0,0
2/1/2019 9:00,2/1/2019 9:00,11,0048 Comox & Broughton,0026 Beatty & Robson,365 Corporate Plus,2299,786,3929,4106,9,11,0,0
2/1/2019 9:00,2/1/2019 9:00,160,0106 Heather & 14th,0165 Columbia & 4th,365 Corporate Standard Renewal,0,379,3621,3694,8,8,0,0
2/1/2019 9:00,2/1/2019 9:00,1238,0011 Ontario & Seawall,0024 Hornby & Pender,365 Standard,2838,666,3974,4166,8,10,0,0
2/1/2019 9:00,2/1/2019 9:00,914,0082 Richards & Davie,0064 Expo & Smithe,365 Plus,974,285,3995,4132,11,11,0,0
2/1/2019 9:00,2/1/2019 9:00,1440,0066 Anderson & 2nd,0173 1st & Columbia,VIP,2450,477,3872,3995,9,11,0,0
2/1/2019 9:00,2/1/2019 9:00,748,0032 Comox & Denman,0047 Chilco & Beach,365 Plus,514,244,3980,4079,9,10,0,0
2/1/2019 9:00,2/1/2019 9:00,191,0130 Heather & 16th,0171 5th & Yukon,365 Day Pass Plus SALE,1690,494,3653,3761,9,10,0,0
2/1/2019 9:00,2/1/2019 10:00,88,0032 Comox & Denman,0004 Yaletown-Roundhouse Station,365 Day Pass Standard SALE,2683,778,3913,4042,9,10,0,0
2/1/2019 9:00,2/1/2019 9:00,1355,0176 10th & Ontario,0001 10th & Cambie,365 Standard,751,146,3645,3784,8,10,0,0
2/1/2019 9:00,2/1/2019 9:00,110,0198 6th & Main,0238 Thornton & 1st,365 Day Pass Plus SALE,628,139,3808,3879,9,11,0,0
2/1/2019 9:00,2/1/2019 10:00,1440,0173 1st & Columbia,0150 Alexander & Main,365 Day Founding Plus,2258,559,3916,4029,10,11,0,0
2/1/2019 9:00,2/1/2019 10:00,539,0173 1st & Columbia,0167 Cordova & Columbia,VIP,1927,495,3785,3903,8,10,0,0
2/1/2019 9:00,2/1/2019 10:00,538,0255 18th & Main,0001 10th & Cambie,365 Corporate Standard,1378,456,3513,3590,8,8,0,0
2/1/2019 9:00,2/1/2019 10:00,520,0010 Stamp's Landing,0066 Anderson & 2nd,Archived Monthly Standard,1837,396,3942,4171,9,9,0,0
2/1/2019 9:00,2/1/2019 10:00,1535,0082 Richards & Davie,0218 Carrall & Seawall,365 Standard,1776,446,3868,3992,10,12,0,0
2/1/2019 9:00,2/1/2019 10:00,253,0036 Bute & Robson,0079 Nelson & Richards,365 Corporate Standard,1337,405,3650,3764,9,10,0,0
2/1/2019 10:00,2/1/2019 10:00,2101,0019 Robson & Hornby,0035 Coal Harbour Community Centre,365 Standard,1705,464,3930,4072,9,11,0,0
2/1/2019 10:00,2/1/2019 10:00,67,0107 8th & Ontario,0098 Carrall & Hastings,365 Corporate Standard,2397,582,3748,3929,9,11,0,0
2/1/2019 10:00,2/1/2019 10:00,1496,0036 Bute & Robson,0026 Beatty & Robson,365 Corporate Plus,1384,275,3824,3937,9,11,0,0
2/1/2019 10:00,2/1/2019 10:00,841,0174 1st & Ontario,0008 8th & Ash,Archived Monthly Plus,1733,558,4018,4171,10,11,0,0
2/1/2019 10:00,2/1/2019 10:00,592,0199 Georgia & Main,0035 Coal Harbour Community Centre,365 Corporate Plus,2687,609,3861,4013,8,11,0,0
2/1/2019 10:00,2/1/2019 10:00,1465,0174 1st & Ontario,0006 Olympic Village Station,Archived Monthly Standard,1080,247,3819,3930,9,11,0,0
2/1/2019 10:00,2/1/2019 10:00,1660,0255 18th & Main,0138 Richards & Helmcken,365 Day Pass Standard SALE,4275,974,3805,3997,8,9,0,0
2/1/2019 10:00,2/1/2019 10:00,218,0071 14th & Granville,0071 14th & Granville,365 Day Pass Plus SALE,0,31,3708,3771,9,8,0,0
2/1/2019 10:00,2/1/2019 10:00,1083,0071 14th & Granville,0019 Robson & Hornby,365 Day Pass Plus SALE,5417,1342,3834,4069,9,11,0,0
2/1/2019 10:00,2/1/2019 10:00,1420,0076 Cypress & 4th,0147 Chestnut & McNicoll,365 Plus,974,219,3892,4026,9,11,0,0
2/1/2019 10:00,2/1/2019 10:00,1185,0017 Marinaside & Davie,0030 Abbott & Cordova,Archived Monthly Standard,1625,526,3955,4069,9,10,0,0
2/1/2019 10:00,2/1/2019 10:00,923,0193 Science World,0004 Yaletown-Roundhouse Station,365 Day Founding Standard,1943,487,3682,3808,9,11,0,0
2/1/2019 10:00,2/1/2019 10:00,1918,0006 Olympic Village Station,0027 Beatty & Nelson,365 Day Founding Standard,1523,370,3982,4114,9,11,0,0
2/1/2019 10:00,2/1/2019 10:00,1058,0050 Bute & Comox,0099 Vancouver Art Gallery - North Plaza,365 Plus,1119,279,4011,4111,9,11,0,0
2/1/2019 10:00,2/1/2019 10:00,183,0207 Alberni & Jervis,0026 Beatty & Robson,365 Corporate Standard,1627,467,3926,4061,9,9,0,0
2/1/2019 10:00,2/1/2019 10:00,910,0174 1st & Ontario,0236 Keith & 6th,Archived Monthly Plus,2091,489,3739,3832,9,10,0,0
2/1/2019 10:00,2/1/2019 10:00,177,0280 Triumph & Victoria,0230 Alexander & Railway,365 Standard,2037,530,3826,3977,8,10,0,0
2/1/2019 10:00,2/1/2019 11:00,610,0053 Keefer & Abbott,0119 3rd & Quebec,365 Plus,1866,492,3716,3829,8,11,0,0
2/1/2019 10:00,2/1/2019 11:00,546,0080 Laurel & Broadway,0015 Granville & Georgia,365 Day Founding Standard,3267,1040,3893,4032,9,10,0,0
2/1/2019 11:00,2/1/2019 11:00,85,0257 Prince Edward & 14th,0257 Prince Edward & 14th,90 Day,4,33,3716,3784,10,8,0,0
2/1/2019 11:00,2/1/2019 11:00,1159,0257 Prince Edward & 14th,0073 Ontario & 5th,90 Day,1639,472,3706,3803,8,11,0,0
2/1/2019 11:00,2/1/2019 11:00,802,0037 Hornby & Nelson,0037 Hornby & Nelson,24 Hour,2405,1579,3992,4105,10,10,0,0
2/1/2019 11:00,2/1/2019 11:00,1958,0060 Bidwell & Burnaby,0036 Bute & Robson,365 Standard,1551,526,3871,4003,9,10,0,0
2/1/2019 11:00,2/1/2019 11:00,2120,0253 Charles & Woodland,0167 Cordova & Columbia,365 Plus,3169,974,3789,3950,9,10,0,0
2/1/2019 11:00,2/1/2019 12:00,243,0083 Aquatic Centre,0083 Aquatic Centre,24 Hour,14267,5417,3977,4345,9,11,0,0
2/1/2019 11:00,2/1/2019 12:00,1837,0083 Aquatic Centre,0083 Aquatic Centre,24 Hour,14441,5377,3960,4292,9,12,0,0
2/1/2019 11:00,2/1/2019 12:00,1202,0083 Aquatic Centre,0083 Aquatic Centre,24 Hour,14430,5358,3808,4169,9,11,0,0
2/1/2019 11:00,2/1/2019 11:00,398,0125 Hamilton & Robson,0021 Cordova & Granville,365 Standard,1151,429,3945,4098,9,8,0,0
2/1/2019 11:00,2/1/2019 12:00,599,0083 Aquatic Centre,0083 Aquatic Centre,24 Hour,14298,5223,3732,4137,10,11,0,0
2/1/2019 11:00,2/1/2019 11:00,544,0055 Keefer & Columbia,0066 Anderson & 2nd,365 Standard,3967,691,3552,3748,10,12,0,0
2/1/2019 11:00,2/1/2019 11:00,177,0230 Alexander & Railway,0280 Triumph & Victoria,365 Standard,2168,554,3868,4011,8,10,0,0
2/1/2019 11:00,2/1/2019 11:00,1768,0133 Ontario & 16th,0119 3rd & Quebec,Archived Monthly Standard,1502,453,3639,3758,9,10,0,0
2/1/2019 11:00,2/1/2019 11:00,1868,0005 Dunsmuir & Beatty,0137 Beach & Seymour,365 Plus,2046,558,3955,4127,10,12,0,0
2/1/2019 11:00,2/1/2019 11:00,1331,0012 Dunsmuir & Richards,0012 Dunsmuir & Richards,365 Day Pass Plus SALE,0,18,3890,3966,9,9,0,0
2/1/2019 11:00,2/1/2019 11:00,1125,0211 14th & Alder,0080 Laurel & Broadway,365 Day Founding Standard,1041,269,3795,3890,8,10,0,0
2/1/2019 12:00,2/1/2019 12:00,563,0199 Georgia & Main,0199 Georgia & Main,365 Day Pass Plus SALE,5307,2926,3953,4108,9,10,0,0
2/1/2019 12:00,2/1/2019 12:00,849,0058 Homer & Smithe,0058 Homer & Smithe,365 Standard,590,362,3719,3800,9,9,0,0
2/1/2019 12:00,2/1/2019 12:00,539,0167 Cordova & Columbia,0167 Cordova & Columbia,VIP,10877,2294,3806,4063,8,11,0,0
2/1/2019 12:00,2/1/2019 12:00,841,0008 8th & Ash,0174 1st & Ontario,Archived Monthly Plus,1433,466,4037,4193,11,11,0,0
2/1/2019 12:00,2/1/2019 12:00,789,0036 Bute & Robson,0089 Burrard & Drake,365 Day Pass Plus SALE,1237,347,3942,4066,9,11,0,0
2/1/2019 12:00,2/1/2019 12:00,1435,0174 1st & Ontario,0006 Olympic Village Station,365 Plus,1080,253,3797,3892,8,10,0,0
2/1/2019 12:00,2/1/2019 12:00,802,0037 Hornby & Nelson,0167 Cordova & Columbia,24 Hour,2270,739,4008,4150,10,11,0,0
2/1/2019 12:00,2/1/2019 12:00,230,0015 Granville & Georgia,0092 Chilco & Barclay,90 Day,2346,655,3777,3935,9,11,0,0
2/1/2019 12:00,2/1/2019 15:00,2006,0001 10th & Cambie,0112 10th & Oak,365 Standard,935,314,4034,4121,9,6,0,0
2/1/2019 12:00,2/2/2019 12:00,263,0001 10th & Cambie,0112 10th & Oak,365 Corporate Plus Renewal,918,296,4055,4090,8,5,0,0
2/1/2019 12:00,2/1/2019 12:00,1648,0199 Georgia & Main,0199 Georgia & Main,365 Standard,0,41,3985,4072,9,6,0,0
2/1/2019 12:00,2/1/2019 12:00,1410,0196 Drake & Hornby,0053 Keefer & Abbott,365 Day Pass Plus SALE,0,586,3816,3893,10,9,0,0
2/1/2019 12:00,2/1/2019 12:00,2052,0199 Georgia & Main,0039 Helmcken & Burrard,365 Standard,2693,649,3877,4055,9,11,0,0
